measurement_id,timestamp_utc,elapsed_s,co2_ppm,temperature_c,relative_humidity_percent,pressure_pa,sensor_response_time_s,sensor_precision_ppm
toy_sensor_1p5ppm,2026-08-03 12:00:00,0,428.98183742291775,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:01,1,429.22519213367923,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:02,2,432.22868453885297,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:03,3,431.40658859835963,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:04,4,429.15786822744775,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:05,5,431.40709806681633,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:06,6,429.71827058695789,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:07,7,430.3193755226261,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:08,8,431.64407961183662,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:09,9,430.30963132142085,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:10,10,429.7072441808163,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:11,11,431.36242978327806,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:12,12,433.13901006103299,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:13,13,432.23352343043365,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:14,14,433.14357910243558,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:15,15,435.05686275519992,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:16,16,438.02099784880289,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:17,17,437.97170063904366,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:18,18,438.6257444073845,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:19,19,439.07417203590825,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:20,20,439.01068223837319,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:21,21,439.74816533227693,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:22,22,440.06867384312784,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:23,23,442.65534733263627,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:24,24,440.45505030256379,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:25,25,442.4595080356516,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:26,26,442.21457404348411,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:27,27,445.1591467141746,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:28,28,443.53747841154467,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:29,29,446.72794136955412,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:30,30,449.14544723351776,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:31,31,447.04701091182051,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:32,32,448.14420018189344,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:33,33,447.73933075079378,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:34,34,448.22406772127539,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:35,35,449.26724995926719,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:36,36,449.01581245186401,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:37,37,453.0435612712426,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:38,38,454.42392028784775,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:39,39,454.55597338759333,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:40,40,454.04086433865939,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:41,41,456.16584613070785,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:42,42,454.6017546821376,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:43,43,459.13098302935578,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:44,44,459.57757776795285,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:45,45,461.69810213266567,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:46,46,460.39443343829799,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:47,47,459.0281967668767,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:48,48,459.91677603411529,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:49,49,460.98029406014871,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:50,50,461.24557987541868,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:51,51,463.04392258327653,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:52,52,464.30997004440934,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:53,53,465.7297890618168,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:54,54,464.8208522078167,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:55,55,465.12598453972248,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:56,56,465.69723340263675,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:57,57,467.47269760211964,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:58,58,468.48653053196978,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:00:59,59,467.93584289325224,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:00,60,465.17007069540932,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:01,61,469.24799423561365,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:02,62,469.52492962746823,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:03,63,472.73153074397635,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:04,64,472.32370186414158,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:05,65,471.97636079963252,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:06,66,472.18439651255272,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:07,67,474.28537394088892,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:08,68,472.98057879031296,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:09,69,474.92127857143015,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:10,70,472.55176939618144,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:11,71,476.42980750010543,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:12,72,475.14883386123984,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:13,73,478.77552551324953,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:14,74,479.20641235605586,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:15,75,476.44645523766644,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:16,76,478.71326884133981,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:17,77,479.79940295681638,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:18,78,477.05508322080527,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:19,79,477.75029174866665,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:20,80,482.79709585677676,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:21,81,481.86528380169364,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:22,82,484.2833109153284,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:23,83,480.8083717384153,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:24,84,483.62012653699691,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:25,85,485.3898385157047,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:26,86,486.62269768163037,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:27,87,486.07727009398474,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:28,88,487.47419576235336,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:29,89,488.90611009998503,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:30,90,489.39926072777996,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:31,91,488.62344621581769,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:32,92,485.68575660104239,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:33,93,488.38148797602116,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:34,94,487.23513054964599,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:35,95,490.07088204736624,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:36,96,495.87180540100456,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:37,97,490.18649538143956,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:38,98,491.92175418897978,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:39,99,492.85758711504815,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:40,100,495.12084930165349,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:41,101,495.58819393262286,20,70,99000,10,1.5
toy_sensor_1p5ppm,2026-08-03 12:01:42,102,494.76492386891294,20,70,99000,10,1.5
